Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss Category,Loss per User ($),Period,Severity Score
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28,Medium,115.25,2020 & After,0.46
Australia,2023,Ransomware,Education,94.86,127127,Unknown,Social Engineering,Encryption,47,High,746.18,2020 & After,0.62
China,2016,Malware,Government,15.92,668188,Insider,Unpatched Software,AI-based Detection,38,Low,23.83,Before 2020,0.363
Japan,2018,SQL Injection,Education,11.28,433618,Hacker Group,Social Engineering,Antivirus,59,Low,26.01,Before 2020,0.241
Germany,2023,Malware,Telecommunications,3.86,51176,Unknown,Social Engineering,Encryption,61,Low,75.43,2020 & After,0.044
Germany,2016,SQL Injection,IT,34.35,918452,Unknown,Weak Passwords,AI-based Detection,16,Low,37.4,Before 2020,0.574
Germany,2023,Ransomware,Healthcare,84.92,152814,Nation-state,Social Engineering,AI-based Detection,33,High,555.71,2020 & After,0.571
USA,2017,Man-in-the-Middle,Retail,74.57,502149,Hacker Group,Weak Passwords,AI-based Detection,29,Medium,148.5,Before 2020,0.648
USA,2019,Ransomware,Healthcare,89.81,46960,Nation-state,Zero-day,AI-based Detection,16,High,1912.48,Before 2020,0.558
Brazil,2017,SQL Injection,Government,40.66,651335,Insider,Weak Passwords,Encryption,21,Medium,62.43,Before 2020,0.505
Brazil,2018,DDoS,Telecommunications,69.83,587034,Hacker Group,Weak Passwords,AI-based Detection,35,Medium,118.95,Before 2020,0.654
France,2015,Man-in-the-Middle,Healthcare,79.58,856278,Hacker Group,Zero-day,Firewall,71,Medium,92.94,Before 2020,0.82
China,2022,DDoS,Banking,79.07,880586,Hacker Group,Unpatched Software,VPN,56,Medium,89.79,2020 & After,0.827
USA,2019,DDoS,Government,81.56,78873,Hacker Group,Weak Passwords,Encryption,27,High,1034.07,Before 2020,0.521
Australia,2017,DDoS,Banking,62.81,810106,Hacker Group,Weak Passwords,Encryption,66,Medium,77.53,Before 2020,0.701
Germany,2021,DDoS,Government,28.71,937384,Hacker Group,Unpatched Software,Encryption,67,Low,30.63,2020 & After,0.547
Japan,2023,Man-in-the-Middle,Retail,36.68,231307,Unknown,Zero-day,Encryption,4,Low,158.58,2020 & After,0.313
China,2016,DDoS,IT,71.75,816710,Hacker Group,Weak Passwords,VPN,60,Medium,87.85,Before 2020,0.757
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33,Low,19.19,Before 2020,0.462
UK,2016,DDoS,Telecommunications,48.47,937466,Hacker Group,Social Engineering,AI-based Detection,28,Medium,51.7,Before 2020,0.666
China,2020,DDoS,Banking,11.72,81518,Nation-state,Social Engineering,VPN,47,Low,143.77,2020 & After,0.103
Brazil,2015,Malware,IT,1.35,371048,Hacker Group,Zero-day,VPN,56,Low,3.64,Before 2020,0.157
USA,2019,Phishing,IT,20.13,25946,Hacker Group,Weak Passwords,AI-based Detection,68,Low,775.84,Before 2020,0.131
France,2017,Man-in-the-Middle,Education,14.99,942088,Insider,Zero-day,AI-based Detection,46,Low,15.91,Before 2020,0.467
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,Low,31.46,Before 2020,0.539
USA,2018,SQL Injection,Government,99.49,755576,Insider,Weak Passwords,AI-based Detection,23,High,131.67,Before 2020,0.899
Brazil,2018,Malware,Education,6.3,661644,Insider,Social Engineering,AI-based Detection,29,Low,9.52,Before 2020,0.303
UK,2019,DDoS,Telecommunications,95.75,168951,Insider,Social Engineering,VPN,13,High,566.73,Before 2020,0.642
Russia,2022,Man-in-the-Middle,IT,49.87,816398,Insider,Social Engineering,Encryption,39,Medium,61.09,2020 & After,0.626
India,2017,DDoS,Education,83.49,79933,Hacker Group,Zero-day,AI-based Detection,23,High,1044.5,Before 2020,0.533
USA,2019,Malware,Government,83.84,506149,Nation-state,Social Engineering,Encryption,35,High,165.64,Before 2020,0.706
Japan,2021,Phishing,Retail,81.26,245015,Nation-state,Zero-day,Firewall,41,High,331.65,2020 & After,0.586
Japan,2017,SQL Injection,Banking,66.81,966993,Hacker Group,Social Engineering,VPN,64,Medium,69.09,Before 2020,0.788
Australia,2016,Malware,Education,88.87,235062,Nation-state,Weak Passwords,Firewall,32,High,378.07,Before 2020,0.627
Brazil,2022,Phishing,Healthcare,75.08,132520,Unknown,Zero-day,Antivirus,56,Medium,566.56,2020 & After,0.504
Germany,2016,SQL Injection,Retail,56.57,869605,Unknown,Social Engineering,VPN,51,Medium,65.05,Before 2020,0.687
USA,2017,Phishing,Banking,96.27,637264,Hacker Group,Unpatched Software,AI-based Detection,11,High,151.07,Before 2020,0.833
Russia,2021,DDoS,Banking,45.6,759356,Insider,Social Engineering,VPN,1,Medium,60.05,2020 & After,0.577
Brazil,2021,DDoS,Education,69.37,666096,Hacker Group,Zero-day,Encryption,9,Medium,104.14,2020 & After,0.683
India,2021,SQL Injection,Telecommunications,68.91,851981,Nation-state,Zero-day,AI-based Detection,57,Medium,80.88,2020 & After,0.754
Australia,2024,Phishing,Banking,14.97,214740,Nation-state,Unpatched Software,Encryption,57,Low,69.71,2020 & After,0.176
Brazil,2016,Phishing,Government,35.94,372653,Hacker Group,Weak Passwords,VPN,60,Low,96.44,Before 2020,0.365
India,2024,Phishing,Banking,64.23,903871,Nation-state,Unpatched Software,Encryption,17,Medium,71.06,2020 & After,0.747
India,2015,Malware,Education,64.29,924049,Nation-state,Social Engineering,VPN,5,Medium,69.57,Before 2020,0.756
Australia,2020,Malware,Government,98.05,193983,Nation-state,Zero-day,Antivirus,31,High,505.46,2020 & After,0.666
Russia,2021,Ransomware,Telecommunications,11.04,904330,Nation-state,Weak Passwords,VPN,49,Low,12.21,2020 & After,0.428
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,Medium,59.54,Before 2020,0.662
Germany,2020,Man-in-the-Middle,Healthcare,28.81,691190,Nation-state,Unpatched Software,Firewall,27,Low,41.68,2020 & After,0.449
China,2024,DDoS,IT,61.42,412245,Nation-state,Social Engineering,Encryption,48,Medium,148.99,2020 & After,0.534
France,2021,Man-in-the-Middle,Healthcare,53.77,302180,Insider,Weak Passwords,AI-based Detection,11,Medium,177.94,2020 & After,0.444
USA,2016,Ransomware,Government,8.21,537592,Nation-state,Social Engineering,Antivirus,11,Low,15.27,Before 2020,0.264
Brazil,2022,SQL Injection,Retail,25.85,632061,Nation-state,Zero-day,Antivirus,2,Low,40.9,2020 & After,0.408
Brazil,2015,DDoS,Retail,67.52,224815,Nation-state,Social Engineering,Firewall,32,Medium,300.34,Before 2020,0.495
India,2022,DDoS,IT,23.91,169310,Unknown,Weak Passwords,Encryption,36,Low,141.22,2020 & After,0.211
Japan,2023,Man-in-the-Middle,Telecommunications,86.98,635827,Nation-state,Social Engineering,Encryption,72,High,136.8,2020 & After,0.776
UK,2022,Ransomware,IT,63.67,560021,Unknown,Zero-day,Encryption,43,Medium,113.69,2020 & After,0.606
Japan,2021,Man-in-the-Middle,Government,61.03,768506,Nation-state,Zero-day,AI-based Detection,11,Medium,79.41,2020 & After,0.674
Australia,2018,Phishing,Healthcare,39.94,755469,Hacker Group,Social Engineering,Antivirus,58,Low,52.87,Before 2020,0.542
India,2022,Ransomware,Retail,74.05,205336,Hacker Group,Social Engineering,AI-based Detection,2,Medium,360.63,2020 & After,0.527
France,2020,DDoS,IT,7.52,957779,Nation-state,Social Engineering,Encryption,17,Low,7.85,2020 & After,0.428
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,Low,344.1,Before 2020,0.211
France,2019,Man-in-the-Middle,Telecommunications,75.99,561713,Insider,Unpatched Software,Firewall,31,Medium,135.28,Before 2020,0.681
Germany,2017,Phishing,Healthcare,53.57,287762,Insider,Weak Passwords,Encryption,13,Medium,186.16,Before 2020,0.437
India,2015,Phishing,Healthcare,76.08,471550,Unknown,Zero-day,VPN,5,Medium,161.34,Before 2020,0.645
Japan,2018,SQL Injection,IT,69.19,33209,Insider,Unpatched Software,AI-based Detection,66,Medium,2083.47,Before 2020,0.428
China,2017,Phishing,Retail,45.83,395251,Unknown,Unpatched Software,Encryption,33,Medium,115.95,Before 2020,0.433
Germany,2019,DDoS,IT,14.77,491791,Hacker Group,Zero-day,Encryption,66,Low,30.03,Before 2020,0.285
Australia,2016,Phishing,Healthcare,53.81,279874,Hacker Group,Unpatched Software,AI-based Detection,66,Medium,192.27,Before 2020,0.435
France,2019,Malware,IT,71.94,881326,Insider,Unpatched Software,Firewall,43,Medium,81.63,Before 2020,0.784
UK,2023,DDoS,IT,68.86,749700,Nation-state,Zero-day,AI-based Detection,35,Medium,91.85,2020 & After,0.713
UK,2022,Phishing,Government,97.56,722445,Nation-state,Weak Passwords,Firewall,10,High,135.04,2020 & After,0.875
USA,2023,Ransomware,Government,84.13,695841,Nation-state,Zero-day,AI-based Detection,21,High,120.9,2020 & After,0.783
USA,2020,SQL Injection,Government,40.95,803757,Hacker Group,Social Engineering,Firewall,33,Medium,50.95,2020 & After,0.567
Japan,2022,DDoS,IT,20.16,174510,Insider,Zero-day,AI-based Detection,60,Low,115.52,2020 & After,0.191
Germany,2022,SQL Injection,Retail,11.51,857660,Hacker Group,Zero-day,VPN,37,Low,13.42,2020 & After,0.412
UK,2020,SQL Injection,Banking,47.67,729265,Unknown,Zero-day,Firewall,42,Medium,65.37,2020 & After,0.578
India,2023,Phishing,Retail,38.89,836604,Hacker Group,Unpatched Software,AI-based Detection,44,Low,46.49,2020 & After,0.568
China,2016,Malware,Government,91.69,885843,Insider,Unpatched Software,AI-based Detection,46,High,103.51,Before 2020,0.905
France,2015,Man-in-the-Middle,Education,17.94,808798,Unknown,Social Engineering,Encryption,60,Low,22.18,Before 2020,0.431
Russia,2018,Man-in-the-Middle,Telecommunications,30.5,401208,Hacker Group,Unpatched Software,VPN,10,Low,76.02,Before 2020,0.344
Japan,2021,Ransomware,Healthcare,77.33,380970,Nation-state,Weak Passwords,Encryption,44,Medium,202.98,2020 & After,0.616
USA,2021,Phishing,Healthcare,70.03,248437,Hacker Group,Social Engineering,Encryption,70,Medium,281.88,2020 & After,0.52
Australia,2024,SQL Injection,Retail,66.49,709125,Hacker Group,Weak Passwords,AI-based Detection,37,Medium,93.76,2020 & After,0.683
Japan,2018,Malware,Education,5.33,656250,Hacker Group,Social Engineering,Firewall,67,Low,8.12,Before 2020,0.295
India,2020,Ransomware,Healthcare,10.46,32616,Unknown,Unpatched Software,Firewall,63,Low,320.7,2020 & After,0.076
Australia,2017,Phishing,Healthcare,39.3,290846,Unknown,Weak Passwords,Firewall,3,Low,135.12,Before 2020,0.352
India,2023,DDoS,Banking,23.83,557428,Insider,Unpatched Software,VPN,38,Low,42.75,2020 & After,0.366
Japan,2015,DDoS,Banking,59.13,182440,Insider,Zero-day,Firewall,8,Medium,324.11,Before 2020,0.428
Australia,2021,DDoS,Government,30.24,292383,Insider,Social Engineering,Encryption,71,Low,103.43,2020 & After,0.298
France,2017,DDoS,Government,86.82,99728,Nation-state,Unpatched Software,VPN,44,High,870.57,Before 2020,0.561
USA,2015,DDoS,IT,66.39,365006,Insider,Weak Passwords,VPN,47,Medium,181.89,Before 2020,0.544
Russia,2019,Ransomware,Telecommunications,61.11,605427,Nation-state,Zero-day,Encryption,33,Medium,100.94,Before 2020,0.609
USA,2022,Malware,Retail,7.65,864358,Hacker Group,Unpatched Software,VPN,11,Low,8.85,2020 & After,0.392
USA,2016,Ransomware,Retail,9.82,610968,Unknown,Unpatched Software,Antivirus,26,Low,16.07,Before 2020,0.303
China,2016,DDoS,IT,67.28,413150,Hacker Group,Social Engineering,Firewall,27,Medium,162.85,Before 2020,0.569
USA,2017,Malware,Education,13.14,681956,Nation-state,Social Engineering,Antivirus,35,Low,19.27,Before 2020,0.352
Australia,2016,Man-in-the-Middle,IT,84.46,94162,Unknown,Weak Passwords,Firewall,15,High,896.96,Before 2020,0.544
France,2023,Man-in-the-Middle,Retail,9.43,565002,Hacker Group,Unpatched Software,Firewall,72,Low,16.69,2020 & After,0.283
France,2017,Phishing,Retail,90.69,275185,Nation-state,Zero-day,Encryption,20,High,329.56,Before 2020,0.654
Russia,2021,DDoS,Retail,37.47,476758,Hacker Group,Unpatched Software,AI-based Detection,19,Low,78.59,2020 & After,0.416
USA,2024,SQL Injection,Banking,7.2,312607,Hacker Group,Weak Passwords,Antivirus,24,Low,23.03,2020 & After,0.168
Russia,2017,Phishing,Banking,94.15,963192,Hacker Group,Weak Passwords,VPN,7,High,97.75,Before 2020,0.95
Australia,2015,Malware,Healthcare,42.15,680874,Unknown,Zero-day,Antivirus,8,Medium,61.91,Before 2020,0.525
France,2018,DDoS,Government,15.71,904770,Hacker Group,Social Engineering,Antivirus,4,Low,17.36,Before 2020,0.456
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,High,229.27,2020 & After,0.763
USA,2018,Ransomware,Healthcare,51.71,858128,Hacker Group,Social Engineering,Antivirus,35,Medium,60.26,Before 2020,0.654
China,2021,Malware,Education,42.26,615849,Nation-state,Unpatched Software,Encryption,44,Medium,68.62,2020 & After,0.5
UK,2019,Phishing,Education,99.45,467349,Nation-state,Zero-day,Firewall,44,High,212.8,Before 2020,0.784
France,2021,SQL Injection,Retail,63.74,235418,Nation-state,Weak Passwords,Encryption,28,Medium,270.75,2020 & After,0.477
Australia,2017,SQL Injection,IT,5.05,823606,Insider,Weak Passwords,Encryption,25,Low,6.13,Before 2020,0.36
China,2020,SQL Injection,IT,89.38,923489,Nation-state,Unpatched Software,Firewall,66,High,96.79,2020 & After,0.906
USA,2024,Phishing,IT,58.57,630793,Hacker Group,Social Engineering,AI-based Detection,64,Medium,92.85,2020 & After,0.604
France,2015,SQL Injection,Education,65.83,691903,Unknown,Zero-day,VPN,54,Medium,95.14,Before 2020,0.672
UK,2019,Phishing,Government,79.79,133632,Hacker Group,Weak Passwords,Firewall,8,Medium,597.09,Before 2020,0.532
Australia,2017,Phishing,Banking,90.5,42278,Insider,Weak Passwords,AI-based Detection,45,High,2140.59,Before 2020,0.56
Germany,2016,Phishing,IT,2.1,176471,Unknown,Zero-day,VPN,9,Low,11.9,Before 2020,0.083
India,2015,SQL Injection,Telecommunications,63.72,916516,Hacker Group,Social Engineering,Encryption,68,Medium,69.52,Before 2020,0.749
Japan,2023,SQL Injection,Government,87.8,510002,Hacker Group,Social Engineering,Firewall,62,High,172.16,2020 & After,0.731
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,High,189.11,Before 2020,0.669
India,2016,Ransomware,IT,66.19,537670,Hacker Group,Unpatched Software,Encryption,55,Medium,123.11,Before 2020,0.612
Russia,2022,Malware,Banking,39.62,850339,Hacker Group,Social Engineering,Firewall,50,Low,46.59,2020 & After,0.578
Japan,2021,DDoS,Government,35.46,937562,Unknown,Zero-day,Firewall,10,Low,37.82,2020 & After,0.588
France,2020,Malware,Government,10.62,405267,Nation-state,Unpatched Software,AI-based Detection,5,Low,26.2,2020 & After,0.226
China,2022,DDoS,Government,80.76,346279,Unknown,Zero-day,Encryption,59,High,233.22,2020 & After,0.623
Brazil,2016,DDoS,Telecommunications,10.45,889928,Nation-state,Zero-day,Encryption,63,Low,11.74,Before 2020,0.419
France,2018,SQL Injection,Healthcare,0.95,376206,Unknown,Unpatched Software,Antivirus,44,Low,2.53,Before 2020,0.156
India,2018,Ransomware,IT,27.14,227433,Unknown,Unpatched Software,Antivirus,13,Low,119.33,Before 2020,0.254
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,Medium,139.14,2020 & After,0.486
Russia,2022,Ransomware,IT,41.08,529025,Insider,Unpatched Software,AI-based Detection,42,Medium,77.65,2020 & After,0.458
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,Low,19.81,2020 & After,0.234
India,2017,Ransomware,Education,98.11,677198,Unknown,Social Engineering,VPN,28,High,144.88,Before 2020,0.86
Russia,2024,Man-in-the-Middle,Healthcare,9.4,480988,Nation-state,Unpatched Software,Encryption,59,Low,19.54,2020 & After,0.249
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,Medium,76.61,Before 2020,0.521
Brazil,2018,Ransomware,Banking,30.61,910960,Nation-state,Social Engineering,Antivirus,31,Low,33.6,Before 2020,0.548
China,2018,Ransomware,Banking,43.98,386308,Nation-state,Weak Passwords,Antivirus,3,Medium,113.85,Before 2020,0.418
Australia,2017,Man-in-the-Middle,Banking,54.38,100855,Unknown,Social Engineering,VPN,2,Medium,539.19,Before 2020,0.367
China,2023,Malware,Education,23.74,317922,Insider,Social Engineering,Antivirus,18,Low,74.67,2020 & After,0.27
USA,2018,DDoS,IT,82.13,220618,Unknown,Weak Passwords,Firewall,59,High,372.27,Before 2020,0.581
India,2015,Ransomware,Telecommunications,24.7,825941,Hacker Group,Unpatched Software,VPN,54,Low,29.91,Before 2020,0.479
China,2022,Malware,Education,60.9,331234,Unknown,Social Engineering,Antivirus,3,Medium,183.86,2020 & After,0.498
China,2020,Man-in-the-Middle,Telecommunications,14.61,855055,Hacker Group,Unpatched Software,Antivirus,59,Low,17.09,2020 & After,0.43
Japan,2022,DDoS,Telecommunications,34.31,305329,Unknown,Unpatched Software,Firewall,40,Low,112.37,2020 & After,0.328
Japan,2020,Phishing,Government,32.39,442923,Nation-state,Social Engineering,Encryption,57,Low,73.13,2020 & After,0.372
UK,2015,Ransomware,Banking,79.3,893277,Unknown,Social Engineering,Firewall,15,Medium,88.77,Before 2020,0.833
China,2020,Malware,Healthcare,30.86,240532,Insider,Weak Passwords,Encryption,64,Low,128.3,2020 & After,0.281
USA,2016,DDoS,Healthcare,93.14,947960,Nation-state,Weak Passwords,Firewall,55,High,98.25,Before 2020,0.938
Brazil,2018,Malware,Healthcare,52.87,437283,Insider,Zero-day,Antivirus,30,Medium,120.91,Before 2020,0.492
China,2019,Malware,Healthcare,29.61,761390,Insider,Weak Passwords,Antivirus,7,Low,38.89,Before 2020,0.482
France,2019,Phishing,Retail,25.75,998507,Insider,Weak Passwords,AI-based Detection,15,Low,25.79,Before 2020,0.554
India,2017,DDoS,Retail,82.17,593329,Hacker Group,Unpatched Software,AI-based Detection,62,High,138.49,Before 2020,0.73
UK,2019,Phishing,Banking,60.07,197590,Insider,Zero-day,Encryption,62,Medium,304.01,Before 2020,0.44
Japan,2017,Ransomware,Banking,50.75,53111,Hacker Group,Social Engineering,Antivirus,15,Medium,955.55,Before 2020,0.326
Australia,2017,Phishing,Retail,14.88,69641,Hacker Group,Unpatched Software,Firewall,54,Low,213.67,Before 2020,0.117
Germany,2022,DDoS,IT,73.98,953770,Insider,Weak Passwords,Firewall,54,Medium,77.57,2020 & After,0.826
Japan,2023,SQL Injection,Retail,42.33,643549,Nation-state,Weak Passwords,VPN,20,Medium,65.78,2020 & After,0.512
Brazil,2022,Man-in-the-Middle,Education,77.98,899279,Insider,Zero-day,Firewall,39,Medium,86.71,2020 & After,0.828
India,2016,Ransomware,Education,8.55,857887,Unknown,Social Engineering,Firewall,44,Low,9.97,Before 2020,0.395
Russia,2016,Phishing,Government,30.57,503775,Unknown,Zero-day,VPN,71,Low,60.68,Before 2020,0.385
Japan,2015,SQL Injection,IT,36.98,452892,Unknown,Weak Passwords,VPN,17,Low,81.65,Before 2020,0.403
Russia,2018,Ransomware,Healthcare,24.06,327566,Unknown,Unpatched Software,AI-based Detection,6,Low,73.45,Before 2020,0.275
Australia,2018,Ransomware,Education,50.66,851204,Insider,Zero-day,Firewall,3,Medium,59.52,Before 2020,0.645
UK,2017,Man-in-the-Middle,Government,79.27,923309,Hacker Group,Unpatched Software,Firewall,29,Medium,85.85,Before 2020,0.845
Brazil,2023,Phishing,Banking,71.86,151590,Nation-state,Zero-day,Antivirus,30,Medium,474.04,2020 & After,0.492
UK,2022,DDoS,Education,21.01,452432,Nation-state,Unpatched Software,Firewall,8,Low,46.44,2020 & After,0.307
Japan,2015,Ransomware,Retail,95.38,769596,Nation-state,Weak Passwords,VPN,65,High,123.94,Before 2020,0.88
Germany,2022,Phishing,Banking,14.79,407151,Unknown,Weak Passwords,Antivirus,37,Low,36.33,2020 & After,0.252
Brazil,2023,DDoS,IT,45.97,312555,Nation-state,Social Engineering,AI-based Detection,67,Medium,147.08,2020 & After,0.401
Brazil,2019,Man-in-the-Middle,Government,76.39,311908,Unknown,Weak Passwords,Encryption,68,Medium,244.91,Before 2020,0.583
China,2018,Malware,Banking,68.55,59979,Insider,Zero-day,Firewall,41,Medium,1142.9,Before 2020,0.435
Japan,2019,Malware,IT,9.86,233545,Unknown,Zero-day,Antivirus,55,Low,42.22,Before 2020,0.153
France,2020,Man-in-the-Middle,Retail,89.85,722081,Hacker Group,Zero-day,VPN,33,High,124.43,2020 & After,0.828
Russia,2024,SQL Injection,Healthcare,76.99,873037,Nation-state,Unpatched Software,Antivirus,31,Medium,88.19,2020 & After,0.811
India,2022,Malware,IT,12.08,482213,Nation-state,Social Engineering,AI-based Detection,3,Low,25.05,2020 & After,0.265
India,2020,Phishing,Education,39.72,512850,Hacker Group,Zero-day,Antivirus,15,Low,77.45,2020 & After,0.444
China,2023,Man-in-the-Middle,Telecommunications,37.73,849834,Hacker Group,Zero-day,AI-based Detection,56,Low,44.4,2020 & After,0.566
Brazil,2022,Malware,Retail,78.03,660707,Insider,Unpatched Software,Firewall,11,Medium,118.1,2020 & After,0.733
USA,2021,Ransomware,Education,6.77,697935,Unknown,Social Engineering,AI-based Detection,16,Low,9.7,2020 & After,0.32
Russia,2019,Malware,IT,71.92,500655,Nation-state,Zero-day,AI-based Detection,8,Medium,143.65,Before 2020,0.632
USA,2020,Ransomware,IT,95.79,239343,Nation-state,Zero-day,VPN,63,High,400.22,2020 & After,0.671
China,2023,Phishing,Retail,90.04,143728,Unknown,Zero-day,AI-based Detection,57,High,626.46,2020 & After,0.598
USA,2020,Phishing,Retail,99.64,464717,Insider,Weak Passwords,VPN,27,High,214.41,2020 & After,0.784
Russia,2018,SQL Injection,Education,1.25,351063,Nation-state,Weak Passwords,Firewall,56,Low,3.56,Before 2020,0.148
Australia,2015,DDoS,Government,13.96,479025,Nation-state,Zero-day,Antivirus,54,Low,29.14,Before 2020,0.275
Germany,2021,DDoS,Banking,1.62,823004,Nation-state,Zero-day,Encryption,22,Low,1.97,2020 & After,0.339
Russia,2021,DDoS,Education,18.47,394957,Hacker Group,Weak Passwords,Antivirus,27,Low,46.76,2020 & After,0.269
France,2019,Phishing,Telecommunications,28.88,96640,Unknown,Social Engineering,Antivirus,60,Low,298.84,Before 2020,0.212
Russia,2024,DDoS,Education,19.5,325634,Insider,Weak Passwords,Firewall,5,Low,59.88,2020 & After,0.247
France,2023,SQL Injection,Government,29.63,662667,Hacker Group,Zero-day,VPN,30,Low,44.71,2020 & After,0.443
USA,2024,Phishing,IT,57.24,107681,Unknown,Zero-day,VPN,18,Medium,531.57,2020 & After,0.387
Russia,2017,Phishing,Banking,3.2,982243,Insider,Zero-day,Encryption,6,Low,3.26,Before 2020,0.412
Japan,2022,SQL Injection,Government,79.19,950425,Unknown,Social Engineering,Antivirus,54,Medium,83.32,2020 & After,0.855
Brazil,2017,Ransomware,Education,80.5,279808,Insider,Social Engineering,Antivirus,60,High,287.7,Before 2020,0.595
India,2024,SQL Injection,Telecommunications,71.2,190099,Unknown,Zero-day,AI-based Detection,15,Medium,374.54,2020 & After,0.503
Brazil,2019,Malware,Government,12.04,713035,Nation-state,Social Engineering,AI-based Detection,59,Low,16.89,Before 2020,0.358
Australia,2016,Malware,Retail,29.05,817347,Nation-state,Weak Passwords,Antivirus,68,Low,35.54,Before 2020,0.501
Germany,2023,Ransomware,Healthcare,28.18,707214,Unknown,Weak Passwords,AI-based Detection,11,Low,39.85,2020 & After,0.452
UK,2016,DDoS,Retail,39.26,668780,Hacker Group,Zero-day,Firewall,33,Low,58.7,Before 2020,0.503
Russia,2015,DDoS,Telecommunications,57.21,609196,Unknown,Social Engineering,VPN,4,Medium,93.91,Before 2020,0.587
USA,2021,Man-in-the-Middle,Telecommunications,83.88,980367,Nation-state,Unpatched Software,Firewall,3,High,85.56,2020 & After,0.896
Russia,2022,Man-in-the-Middle,IT,84.1,919858,Nation-state,Unpatched Software,Encryption,47,High,91.43,2020 & After,0.873
France,2017,DDoS,Healthcare,39.49,195459,Hacker Group,Weak Passwords,Encryption,14,Low,202.04,Before 2020,0.315
Russia,2015,Man-in-the-Middle,Government,46.76,713342,Unknown,Weak Passwords,Encryption,36,Medium,65.55,Before 2020,0.566
UK,2019,DDoS,Banking,80.68,19007,Nation-state,Unpatched Software,VPN,29,High,4244.75,Before 2020,0.492
China,2022,Ransomware,Government,86.56,963091,Insider,Zero-day,VPN,37,High,89.88,2020 & After,0.905
UK,2017,Malware,Government,66.25,726887,Hacker Group,Social Engineering,Firewall,13,Medium,91.14,Before 2020,0.688
Russia,2021,DDoS,IT,78.76,130413,Unknown,Social Engineering,Encryption,66,Medium,603.93,2020 & After,0.525
Germany,2017,Malware,Banking,97.68,906914,Hacker Group,Zero-day,AI-based Detection,15,High,107.71,Before 2020,0.949
China,2020,Ransomware,IT,14.94,557218,Nation-state,Zero-day,Firewall,70,Low,26.81,2020 & After,0.313
Russia,2018,SQL Injection,Banking,59.29,380543,Unknown,Weak Passwords,VPN,26,Medium,155.8,Before 2020,0.508
UK,2022,Malware,Retail,39.55,337363,Insider,Social Engineering,VPN,2,Low,117.23,2020 & After,0.372
China,2018,DDoS,IT,14.04,803086,Nation-state,Social Engineering,VPN,23,Low,17.48,Before 2020,0.406
China,2024,Man-in-the-Middle,IT,63.79,195858,Hacker Group,Zero-day,Encryption,1,Medium,325.7,2020 & After,0.461
India,2019,Malware,Banking,37.03,358371,Insider,Weak Passwords,AI-based Detection,30,Low,103.33,Before 2020,0.366
Australia,2019,Phishing,Retail,9.12,212267,Insider,Zero-day,Antivirus,14,Low,42.96,Before 2020,0.14
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,Medium,68.68,2020 & After,0.615
Japan,2017,Ransomware,Retail,59.13,747705,Insider,Unpatched Software,VPN,47,Medium,79.08,Before 2020,0.654
USA,2024,Phishing,Telecommunications,64.67,996651,Hacker Group,Weak Passwords,Encryption,69,Medium,64.89,2020 & After,0.787
UK,2015,Ransomware,Government,52.78,281905,Insider,Social Engineering,VPN,32,Medium,187.23,Before 2020,0.43
Brazil,2019,Man-in-the-Middle,Healthcare,7.44,739981,Unknown,Social Engineering,Antivirus,54,Low,10.05,Before 2020,0.341
France,2016,SQL Injection,Telecommunications,47.19,554448,Hacker Group,Social Engineering,Antivirus,31,Medium,85.11,Before 2020,0.505
USA,2016,Ransomware,Healthcare,99.19,745103,Insider,Unpatched Software,Encryption,8,High,133.12,Before 2020,0.893
India,2015,DDoS,Healthcare,10.94,600279,Insider,Unpatched Software,AI-based Detection,16,Low,18.22,Before 2020,0.306
Russia,2016,Man-in-the-Middle,IT,48.86,973654,Unknown,Unpatched Software,Encryption,23,Medium,50.18,Before 2020,0.683
China,2016,DDoS,Telecommunications,80.48,78123,Hacker Group,Social Engineering,Antivirus,50,High,1030.17,Before 2020,0.514
UK,2015,Man-in-the-Middle,Government,69.96,675955,Insider,Zero-day,Antivirus,60,Medium,103.5,Before 2020,0.69
China,2016,DDoS,IT,18.96,122866,Insider,Unpatched Software,VPN,46,Low,154.31,Before 2020,0.163
Russia,2018,Ransomware,Education,66.33,177570,Nation-state,Social Engineering,Encryption,72,Medium,373.54,Before 2020,0.469
